,logFC,level,p,Genus,ord
g__Domibacillus,-5.27905396691665,depleted,0.000971877508380107,g__Domibacillus,27.8684107856184
g__Kineococcus,-5.20238402930793,depleted,0.00134099186158156,g__Kineococcus,27.0647995883982
g__Ahniella,5.19343120741474,enriched,3.88646199418498e-24,g__Ahniella,26.9717277061493
g__Sediminibacterium,-5.17300105216472,depleted,0.00030470936695242,g__Sediminibacterium,26.7599398856973
g__Telmatocola,-5.09782047525451,depleted,1.34013146931307e-07,g__Telmatocola,25.9877735979241
g__IMCC26134,5.08022179519482,enriched,0.000273731322267019,g__IMCC26134,25.8086534883725
g__Parasegetibacter,-5.00745709055991,depleted,0.000754162864917703,g__Parasegetibacter,25.0746265137987
g__Cytophaga,-4.9879414227913,depleted,1.64479740289768e-05,g__Cytophaga,24.8795596371973
g__Actinophytocola,4.88157196877447,enriched,0.000643482297494731,g__Actinophytocola,23.8297448863246
g__Cavicella,-4.8658962304509,depleted,0.000459798092091824,g__Cavicella,23.6769461255163
g__Scytonema_UTEX_2349,-4.78862558763463,depleted,0.00796619339191772,g__Scytonema_UTEX_2349,22.9309350185491
g__Paludisphaera,-4.76123791877586,depleted,0.00127772762273398,g__Paludisphaera,22.6693865191891
g__Dechloromonas,-4.75830090022523,depleted,0.00232194387217404,g__Dechloromonas,22.6414274570842
g__unclassified_f__D05-2,4.67389218298105,enriched,0.00161294584459208,g__unclassified_f__D05-2,21.8452681381313
g__Ellin516,-4.64707154467739,depleted,0.00135682726487872,g__Ellin516,21.5952739413503
g__Hydrogenophaga,4.59829251875946,enriched,0.000586548525172492,g__Hydrogenophaga,21.1442940880793
g__Patulibacter,-4.59651425976483,depleted,0.00139641839474099,g__Patulibacter,21.1279433402215
g__unclassified_o__Bacteroidetes_VC2.1_Bac22,4.59560658784206,enriched,2.03707736065475e-10,g__unclassified_o__Bacteroidetes_VC2.1_Bac22,21.1195999102173
g__Rurimicrobium,4.59229027416911,enriched,0.00209191792637909,g__Rurimicrobium,21.0891299622282
g__Tuwongella,4.59006213939666,enriched,2.98701391374757e-05,g__Tuwongella,21.0686704435227
g__unclassified_o__Sphingobacteriales,4.57315398877847,enriched,6.59698568109798e-08,g__unclassified_o__Sphingobacteriales,20.9137374050804
g__Armatimonas,-4.57065698590247,depleted,0.00531396578846148,g__Armatimonas,20.890905282779
g__Candidatus_Paracaedibacter,-4.55442558264103,depleted,4.01089789525792e-05,g__Candidatus_Paracaedibacter,20.7427923878151
g__Leptolyngbya_Es-Yyy1000,-4.53877564376698,depleted,3.17341682927308e-05,g__Leptolyngbya_Es-Yyy1000,20.6004843444524
g__LD29,-4.50843141231449,depleted,0.0018646683179144,g__LD29,20.325953799544
g__Hassallia,4.49637994342127,enriched,2.28454760971205e-13,g__Hassallia,20.217432595601
g__Fimbriimonas,-4.46851728976469,depleted,0.000466491739638719,g__Fimbriimonas,19.967646768926
g__unclassified_f__Rubinisphaeraceae,4.46091937994901,enriched,0.000577876849107792,g__unclassified_f__Rubinisphaeraceae,19.8998017144047
g__unclassified_o__Candidatus_Woesebacteria,4.45239425597213,enriched,3.76252688572292e-05,g__unclassified_o__Candidatus_Woesebacteria,19.8238146106136
g__unclassified_f__Solimonadaceae,4.44623715716228,enriched,1.69344923733132e-08,g__unclassified_f__Solimonadaceae,19.7690248577305
g__Polycyclovorans,4.43953152676978,enriched,2.98884358681547e-21,g__Polycyclovorans,19.7094401771828
g__Jahnella,-4.41632734053482,depleted,0.00438725553022477,g__Jahnella,19.5039471787554
g__unclassified_c__Lineage_IIc,4.31894462660548,enriched,0.000167900835672014,g__unclassified_c__Lineage_IIc,18.6532826876844
g__Agrococcus,-4.22474752640556,depleted,0.00478699384334744,g__Agrococcus,17.8484916618699
g__Actinopolymorpha,-4.20578396848538,depleted,0.00162580938909816,g__Actinopolymorpha,17.6886187895686
g__Azospirillum,-4.13439905193937,depleted,0.00194423472479314,g__Azospirillum,17.0932555206772
g__unclassified_o__Marine_Group_II,4.0913247863505,enriched,2.76178415253929e-06,g__unclassified_o__Marine_Group_II,16.738938507406
g__Crocinitomix,4.08056348017071,enriched,0.000457466523460311,g__Crocinitomix,16.6509983157029
g__Granulicella,-4.04881235390696,depleted,0.00516123779342291,g__Granulicella,16.3928814771496
g__unclassified_f__Rickettsiaceae,-4.02321254087452,depleted,0.000465944323238808,g__unclassified_f__Rickettsiaceae,16.18623914905
g__Delftia,-3.98388770976665,depleted,0.00536634400297085,g__Delftia,15.8713612840298
g__unclassified_o__SAR202_clade,3.96985395303457,enriched,0.000159234250599334,g__unclassified_o__SAR202_clade,15.7597404084242
g__Chiayiivirga,3.81718490537661,enriched,0.0020213569944264,g__Chiayiivirga,14.570900601835
g__unclassified_o__Ardenticatenales,3.79021153326602,enriched,8.16619124946827e-14,g__unclassified_o__Ardenticatenales,14.3657034669028
g__Sanguibacter-Flavimobilis,-3.77022836410366,depleted,0.00680771067191726,g__Sanguibacter-Flavimobilis,14.2146219174918
g__unclassified_o__MSB-4B10,-3.74970198328519,depleted,0.000607671849957493,g__unclassified_o__MSB-4B10,14.0602649634529
g__Aurantisolimonas,-3.74340073861781,depleted,1.39727961987165e-07,g__Aurantisolimonas,14.0130490898844
g__[Aquaspirillum]_arcticum_group,-3.70912721004972,depleted,0.00653222725528118,g__[Aquaspirillum]_arcticum_group,13.7576246603312
g__Sulfurifustis,3.69580627938758,enriched,0.00481462095497568,g__Sulfurifustis,13.6589840547607
g__Pseudofulvimonas,3.66594393182568,enriched,0.002039379547685,g__Pseudofulvimonas,13.4391449112896
g__Edaphobacter,-3.65230893723287,depleted,0.00684469976807418,g__Edaphobacter,13.3393605729911
g__Leptolyngbya_EcFYyyy-00,-3.61979624695368,depleted,0.000556285631916246,g__Leptolyngbya_EcFYyyy-00,13.10292486946
g__Planifilum,3.61060823697963,enriched,0.00091250664194881,g__Planifilum,13.0364918409452
g__Lacibacter,3.59763525838858,enriched,2.58203086281727e-09,g__Lacibacter,12.9429794524007
g__Aquisphaera,-3.59314220723542,depleted,0.0113011293211278,g__Aquisphaera,12.9106709214167
g__unclassified_o__FFCH16263,-3.53517114837353,depleted,0.0109183833903559,g__unclassified_o__FFCH16263,12.4974350482926
g__Parafilimonas,-3.50040361132419,depleted,0.00312700068935213,g__Parafilimonas,12.2528254421714
g__unclassified_o__Cyanobacteriales,-3.49822146710672,depleted,0.00048831719809101,g__unclassified_o__Cyanobacteriales,12.2375534329263
g__Bythopirellula,3.48669176511862,enriched,0.00368050395811514,g__Bythopirellula,12.157019464946
g__unclassified_o__Rickettsiales,-3.42610911681826,depleted,0.00267893649117535,g__unclassified_o__Rickettsiales,11.7382236803452
g__WCHB1-32,-3.42595851588058,depleted,0.00602043192430687,g__WCHB1-32,11.7371917525347
g__unclassified_f__Hyphomicrobiaceae,3.41637238609596,enriched,0.0140711528840838,g__unclassified_f__Hyphomicrobiaceae,11.671600280479
g__Salinispora,3.39755039621769,enriched,0.000356792656923916,g__Salinispora,11.543348694839
g__Rudanella,3.32137350761983,enriched,0.000946845352897191,g__Rudanella,11.0315219771189
g__Neo-b11,-3.29300240015977,depleted,0.0092307444395067,g__Neo-b11,10.843864807458
g__Blastopirellula,3.24948964727409,enriched,1.98273930953801e-05,g__Blastopirellula,10.5591829677415
g__Camelimonas,-3.22839524531755,depleted,0.00959243399021424,g__Camelimonas,10.422535859989
g__DEV008,-3.22371503013523,depleted,0.00803236152060457,g__DEV008,10.3923385955198
g__Siccirubricoccus,-3.1933546051434,depleted,0.00459808902227641,g__Siccirubricoccus,10.1975136341905
g__OLB13,3.16210733144172,enriched,1.65437899139631e-06,g__OLB13,9.99892277555745
g__Sporomusa,3.14188135651049,enriched,0.00536884964872173,g__Sporomusa,9.87141845838822
g__OLB8,-3.12042925327034,depleted,0.00428980045388236,g__OLB8,9.73707872466528
g__Pedococcus-Phycicoccus,-3.11929741161296,depleted,1.54709227967559e-05,g__Pedococcus-Phycicoccus,9.73001634209532
g__unclassified_o__CCM11a,3.09524097048366,enriched,6.76945982537438e-05,g__unclassified_o__CCM11a,9.58051666536061
g__unclassified_f__Simkaniaceae,-3.08485334402981,depleted,0.00411631805861671,g__unclassified_f__Simkaniaceae,9.51632015417191
g__Sphaerobacter,3.07938597327684,enriched,0.00382967608737565,g__Sphaerobacter,9.48261797241414
g__unclassified_o__MVP-88,3.02425610027263,enriched,0.00282319434463921,g__unclassified_o__MVP-88,9.14612496003623
g__unclassified_o__Micrococcales,-3.01610652884761,depleted,1.70218131975123e-05,g__unclassified_o__Micrococcales,9.09689859335718
g__Romboutsia,-3.00578990843391,depleted,0.010200277969019,g__Romboutsia,9.03477297364312
g__unclassified_o__Subgroup_15,3.00458492440936,enriched,0.00556718346258052,g__unclassified_o__Subgroup_15,9.02753056798799
g__Tyzzerella,-2.99233315147023,depleted,0.00448129152602956,g__Tyzzerella,8.95405768938773
g__Saccharothrix,2.97312284144627,enriched,0.000208049168563233,g__Saccharothrix,8.83945943032954
g__unclassified_f__Elsteraceae,-2.96640315746191,depleted,0.00643486188328761,g__unclassified_f__Elsteraceae,8.7995476926
g__unclassified_f__Ktedonobacteraceae,-2.95296137589046,depleted,0.0068671913160255,g__unclassified_f__Ktedonobacteraceae,8.71998088750089
g__unclassified_f__cvE6,-2.95123872025978,depleted,0.00649466374140098,g__unclassified_f__cvE6,8.70980998396061
g__Euzebya,2.95083054638569,enriched,0.0140643586074657,g__Euzebya,8.70740091348285
g__unclassified_c__WWE3,2.93829604420854,enriched,0.00603526766571201,g__unclassified_c__WWE3,8.63358364341158
g__Deinococcus,-2.93803742152264,depleted,0.000566711770818629,g__Deinococcus,8.6320638902674
g__Candidatus_Nostocoida,-2.91134433908448,depleted,0.00678872430734458,g__Candidatus_Nostocoida,8.47592586071923
g__Anaerolinea,2.90029216254573,enriched,0.000337507794223401,g__Anaerolinea,8.41169462812417
g__unclassified_o__Subgroup_2,-2.89177810838465,depleted,0.00740813989866483,g__unclassified_o__Subgroup_2,8.36238062813269
g__Ferrovibrio,2.88754975794612,enriched,0.0114004474127312,g__Ferrovibrio,8.33794360461468
