"","L1S140","L1S208","L1S8","L1S281","L3S242","L2S309","L2S357","L4S112","L2S155","L2S382","L4S63","L2S222","L3S341","L3S360","L2S204","L4S137","L3S294","L2S175","L5S203","L6S93","L6S20","L6S68","L1S257","L3S378","L1S105","L5S174","L5S155","L5S222","L5S104","L1S57","L1S76","L5S240","L3S313","L2S240"
"451449",0,0,0,0,0,7,13,10,12,4,24,0,3,0,6,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"968675",1,5,3,1,2,21,25,109,21,55,65,9,9,2,5,294,2,37,296,502,892,1102,0,0,0,218,405,332,471,1,0,468,8,932
"1078207",0,2,1,0,2,144,253,955,206,323,320,66,43,18,57,1278,27,526,156,340,162,381,0,2,1,82,108,119,165,1,0,96,91,226
"971907",0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3,0,0,6,7,32,22,0,0,0,4,1,0,3,0,0,5,0,7
"1040713",0,1,0,0,0,17,28,111,29,5,179,5,3,3,3,18,10,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,2
"813617",0,0,0,0,0,16,197,355,8,3,41,37,132,52,1041,4,1,20,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1
"833731",0,0,1,0,0,2,1,4,11,1,10,6,1,0,4,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"1088134",0,0,0,0,0,0,1,4,4,15,3,1,0,0,0,26,1,5,1,1,2,0,0,1,0,0,1,0,0,0,0,0,5,4
"1086274",1,0,2,0,1,12,12,51,16,27,50,52,6,15,9,114,2,36,63,114,189,260,0,0,0,36,76,59,92,0,0,86,1,530
"1029165",1,0,0,0,0,5,14,22,14,9,83,4,0,0,2,22,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517548",1,0,0,0,0,15,65,196,12,48,41,17,33,2,17,353,6,43,11,198,8,70,0,0,0,1,2,10,0,0,0,0,6,6
"1053898",5,0,0,1,0,49,41,58,68,22,321,8,8,1,21,51,14,29,0,0,0,0,1,0,0,0,0,1,1,0,0,0,16,5
"503389",0,0,0,0,0,4,6,18,86,8,6,10,2,0,2,23,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"110514",0,0,0,0,0,8,12,57,38,2,72,24,1,7,5,16,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1
"1099914",0,0,0,0,0,10,9,12,7,3,72,2,0,0,4,6,6,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"580312",0,0,0,0,0,10,3,11,7,2,52,16,3,0,6,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"197072",84,181,41,81,7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,76,16,142,0,0,0,1,66,74,0,0,0
"2222",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,128,17,5,1,0,0,4,2,13,3,0,0,4,0,13
"903426",0,0,0,0,0,0,1,2,0,0,5,1,0,1,0,2,0,2,7,0,7,17,0,0,0,7,4,2,16,0,0,9,0,13
"4395175",0,0,0,0,0,2,1,5,1,3,26,71,0,11,17,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"534507",0,0,0,0,0,1,3,7,15,4,18,10,4,3,2,19,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"1097208",0,4,0,1,0,284,331,1346,85,119,1206,49,59,7,87,393,58,247,1,1,0,0,3,0,0,1,0,3,0,0,0,1,130,5
"359689",0,0,0,0,0,1,0,6,20,3,9,5,2,2,7,21,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"931121",0,0,0,0,0,0,1,3,0,8,1,0,0,0,0,11,0,0,0,77,50,46,0,0,0,1,1,3,2,1,0,10,0,37
"708680",52,217,62,105,7,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,110,5,214,0,0,0,0,90,160,1,0,0
"1040889",4,8,21,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,0,0,0,0,4,11,0,0,0
"1084417",0,0,0,0,0,0,9,22,12,175,17,32,2,7,2,170,0,6,4,2,20,5,0,1,0,0,0,0,1,0,0,0,3,5
"1084865",0,0,0,0,0,16,23,207,7,7,266,3,2,1,6,48,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1
"999477",0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,9,0,6,6,142,16,19,0,0,0,2,1,13,18,0,0,11,0,31
"975306",5,22,18,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,34,0,0,0,0,15,10,0,0,0
"539820",33,10,29,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,18,0,0,0,0,26,21,0,0,0
"937813",0,0,0,0,0,27,78,196,72,22,136,12,4,6,29,19,15,114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0
"905211",0,0,1,0,0,1,9,26,4,8,21,2,1,0,1,21,0,25,17,16,53,105,0,0,0,12,11,3,58,1,0,31,6,149
"970138",0,0,0,0,0,8,8,25,8,18,17,7,3,1,5,66,0,30,39,289,267,498,0,0,0,4,18,56,4,0,1,184,4,688
"851865",642,346,111,261,13,9,6,41,0,0,2,8,11,3,16,1,0,4,0,0,0,1,138,157,265,0,0,0,2,103,267,1,2,0
"198530",12,14,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,13,0,0,0,0,8,3,1,0,0
"582379",0,1,0,0,0,2,4,16,2,0,14,11,7,8,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633252",0,0,0,0,0,5,101,256,1,1,58,10,123,32,447,4,4,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"1078587",25,17,23,7,2,0,0,0,4,0,0,3,0,0,0,2,0,3,0,0,0,0,11,12,66,0,0,0,0,155,54,0,1,0
"1011712",0,0,0,0,0,2,1,10,16,5,3,4,0,2,0,13,16,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0
"535375",1278,782,1768,265,262,11,3,0,2,2,0,1,2,0,2,0,1,1,0,1,1,1,422,241,851,0,3,0,1,1164,1006,1,1,3
"589277",2278,2168,1399,1701,138,15,7,25,3,2,1,10,4,2,4,1,0,2,2,5,2,1,1202,384,1248,1,2,2,1,1486,1757,3,3,0
"923098",0,0,0,0,0,2,3,12,2,1,10,2,0,0,1,27,0,14,44,22,13,31,0,0,0,7,17,40,58,0,0,9,2,42
"1111294",59,2,227,4,40,1,3,0,0,1,3,7,0,0,1,1,1,3,0,0,0,0,0,6,30,0,0,1,0,0,180,0,0,2
"941024",0,0,0,0,0,3,6,21,3,0,4,0,3,1,1,17,1,4,0,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0
"947112",0,0,1,0,0,13,30,126,122,27,104,17,9,7,12,154,29,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,4
