function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
RXN-10724	89.5	90.0	85.0	198.5	57.0	32.5	51.0	83.5	45.0	46.0	55.0	265.5	63.0	42.5	82.5	178.5	96.0	98.0
RXN-10755	5.79	58.25	45.66	58.88	52.15	22.08	50.07	28.23	21.33	24.21	37.08	10.07	22.37	19.65	28.0	170.04000000000002	55.14	46.88
RXN-10756	297.35	299.33000000000004	227.67	249.34	342.64	345.99999999999994	311.31	275.0	212.33	331.99	187.68	216.35	280.32	420.33	229.98	402.68	268.64	258.99
RXN-10757	716.0	1069.0	878.0	910.5	700.0	1000.34	601.33	813.3299999999999	1268.34	765.3399999999999	680.5	1337.67	1197.5	1654.83	1118.83	639.0	697.1700000000001	623.99
RXN-10758	716.0	1069.0	878.0	910.5	700.0	1000.34	601.33	813.3299999999999	1268.34	765.3399999999999	680.5	1337.67	1197.5	1654.83	1118.83	639.0	697.1700000000001	623.99
RXN-10759	49.32999999999999	111.08	96.13	158.77	13.93	32.07	39.9	41.88	41.15	56.97	45.5	29.67	33.129999999999995	105.62	50.97	45.85	187.75	26.700000000000003
RXN-10760	49.32999999999999	111.08	96.13	158.77	13.93	32.07	39.9	41.88	41.15	56.97	45.5	29.67	33.129999999999995	105.62	50.97	45.85	187.75	26.700000000000003
RXN-10767	5087.52	5597.48	5536.98	6320.110000000001	6152.63	5217.67	5668.799999999999	6193.49	5519.93	5483.48	6521.5	5927.23	5356.45	4909.219999999999	5237.1900000000005	6188.73	6077.49	5654.25
RXN-10769	97859.76	93526.93	95458.81	90178.99	123565.7	121804.1	106299.4	112506.03	115193.33	103858.02	124363.94	111890.1	115809.21	105015.91	108545.06	86483.53	95066.5	105718.25
RXN-10773	97859.76	93526.93	95458.81	90178.99	123565.7	121804.1	106299.4	112506.03	115193.33	103858.02	124363.94	111890.1	115809.21	105015.91	108545.06	86483.53	95066.5	105718.25
RXN-10777	28.0	30.0	29.0	49.0	12.0	23.0	37.0	41.0	21.0	23.0	15.0	42.0	20.0	11.0	22.0	33.0	13.0	14.0
RXN-10778	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
RXN-10780	86859.33	83812.22	90631.48	82120.61000000002	99181.6	101241.21	93046.6	98096.82	101796.1	95957.88	97346.93	107114.06	100861.27	109178.14	97188.67	81824.54999999999	87220.42	87755.66
RXN-10781	82619.86	78101.58	87732.04	82649.57999999999	95236.43	97996.17	91134.46	94796.9	97101.52	93181.13	92719.35	99193.14	97154.87	97821.32	93666.45	83694.07	85196.35	82181.92000000001
RXN-10782	28.0	30.0	29.0	49.0	12.0	23.0	37.0	41.0	21.0	23.0	15.0	42.0	20.0	11.0	22.0	33.0	13.0	14.0
RXN-10814	20887.87	23284.4	25736.64	25357.22	25016.79	28180.31	25667.83	25496.81	27163.83	26927.41	23224.11	29663.18	25400.89	28855.6	25000.88	24639.34	26462.6	24850.63
RXN-10815	30518.82	29241.11	30898.71	27101.75	34859.41	38564.71	31818.15	33631.170000000006	36483.06	32587.75	30182.47	36266.16	34392.97	41108.45	34879.68	26059.17	28409.4	30483.39
RXN-10817	15238.52	14459.63	16405.03	15237.17	19433.75	17822.37	17827.34	18992.57	18161.73	17359.07	21113.38	17460.36	18471.96	15496.510000000002	16893.6	15565.96	16578.65	15604.26
