"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"histidinol and unresolvable, unidentified isomers",1.84691266672364e-05,1.16402492862386e-05,1.23697484716447e-05,6.90946269887532e-06,1.39291825291527e-05,1.99336481487999e-06,1.40178551712225e-05,2.1583472826948e-05,2.4871659994777e-05,1.72359903853554e-06,0,8.83900018288486e-06,1.64740132145703e-05,8.1798338653292e-06,1.75276172671665e-05,2.69020883858985e-05,2.13736226748867e-05,9.33975540346957e-05,0,0,2.13377859175707e-05,2.78397907134837e-06,7.35606901691769e-05,2.14589609906327e-05
"homovanillic acid",5.12157943963581e-05,1.92570306647228e-05,6.68441970671775e-05,0.000123764752414181,4.12549373451193e-05,1.0863499548584e-05,9.8301378046695e-05,6.46241840952541e-05,1.16090267753462e-05,4.18015462255268e-06,3.98088689685626e-05,3.90204189024012e-05,1.17062200284906e-05,1.28121133482433e-05,2.58659008371913e-05,7.02230741153204e-05,5.69642969230716e-05,7.54946244938207e-05,0.000106834480013968,0.000122044589468038,2.44809371524832e-05,9.26078981302523e-06,3.36479509288148e-05,8.5864200194712e-05
"hypoxanthine",0.021349980981914,0.0026102153273111,0,0,0.0610814909162962,0.00019097908592038,0.0173647623363107,0.0210925247222376,0.0414699059862321,0.00608345648151307,0,0,0.0820497494495043,0,0,0,0,0,0,0,0.0434678546719345,0.00526629435413047,0,0
"inosine",0,5.56178975114465e-06,0,0,3.53666308814805e-05,5.4904086367397e-05,0,5.94877959818035e-06,2.30798715228166e-05,7.99148754194005e-06,0,1.75548184769034e-05,0,6.49502869803234e-07,0,0,0,1.14486060568284e-05,0,0,3.2457600498492e-05,2.55532542831027e-05,0,0.000435745399121257
"isoleucine",0.00405083848465767,0.0048489297994846,0,0,0.000323681602860302,0.000311065471437782,8.55845248595422e-05,0.00346936320483987,0.000453334615747164,0.00731021878730564,0,0,0.000726274246710834,0.00533586439314409,0.000115472547190119,0.000143985935799419,0.00214403953028357,7.89427420211767e-05,0,0,0.000509597311772903,0.000229912734516902,0.000322938240308221,9.89335616141215e-05
"leucine/norleucine",0.000674643136124901,0.00370161296998075,0.000148822220128044,8.89267899213248e-06,0.00065763220196824,0.00307770865384648,9.87862639193197e-05,0.003301888714765,0,0,0,0,0.00914966235472462,0.00288653572010792,1.11041251947648e-05,0.000232406470886573,0.00426690220021536,0.000154905492255071,0,5.87587828645224e-06,0.00104524172608453,0.000253133521077372,0.0045404807249955,0.000151951588709487
"malonic acid",5.35831840315248e-06,7.24058840190293e-06,0,0,1.1165457709433e-05,1.8296059383284e-05,0,8.47347417810708e-06,1.94604166073393e-05,3.14470822895546e-06,0,1.15309579113e-06,0,0,0,0,1.59989773025153e-05,1.85080688496304e-05,0,2.97389910887828e-06,0.00011858198550679,1.95378196691126e-06,0,0
"N-acetyl-hexosamine",0.0140297875598322,0.00891668998027967,0.032127415685425,0.00135547120901827,0.00270033882177236,0.00750990162825334,0.00176045307794019,0.00172743359725042,0.000593433708073196,0.00467447915858028,0.0030500933780873,0.0197108977565446,0.00903436904278571,0.0119864889040399,0.000881109500025182,0.00198142131757169,0.00695858509285125,0.0103085172338476,0.0167331995494244,0.025802169733535,0.0014582116456744,0.00612504403935678,0.00120753400985329,0.0016693963868038
"N-acetyl-phenylalanine",0.00308261074944705,2.9351640025424e-05,8.31423301089543e-06,2.01345715415662e-05,0.000177889493476017,3.59259120153097e-06,2.16659975117869e-05,2.36749982097306e-05,0.00295724148608504,3.50386673093729e-06,5.01828548390853e-05,4.51474719581279e-05,0.000132370445338461,3.42123055539167e-05,2.37487863610507e-05,7.14835087456669e-06,0.000223278267771413,0.00320367166066838,0.00543811450696665,0.000165720534623948,0.000125454574276712,7.99675053994665e-06,2.23319681765268e-05,1.90809192724423e-05
"nicotinamide",4.92148728242776e-05,0.000820536678097095,0.000392914017628373,0.000366329715424981,0.000164009044318876,0.000287830535361234,7.95595241855386e-05,0,2.31523368617547e-06,2.43827217696724e-05,0.000257949440194299,0,1.33167003958231e-05,4.6816710446418e-05,0.000303670307212401,0.00442044113947242,8.79552074126681e-06,8.20900900864278e-05,0.00238824668225704,0.003914970348619,6.17646705413656e-05,0.000213778154325735,0,4.31846251671844e-05
"pantothenic acid",0.0205713255026537,0.000268528934988376,0.00279477317090284,0.00247890671989517,0.00110491941118048,0.0367094433369404,0.00192032777920846,2.98174899856358e-05,0.000572632398424486,0.00400413629837458,0.0689521863402171,0.00422846068536741,0.00493439156970761,0.00390920672148387,0.000461353560962466,0.00349878194012813,0.0170582317283177,0.0287356198894477,0.0341090780730859,0.0346275693841351,0.0336915809593824,0.0312984279454513,0,0.0016797248642698
"phenylalanine",0.0259846021252981,0.00354655420765501,5.51667684591085e-05,2.95597541115909e-05,0.0339471209839693,0.00347340215312066,8.26818632036576e-05,0.000136607141288886,0.0516386356654743,0.00766617428406408,0,0.0435473888622057,0.0223011859967899,0.0130835963560698,5.09737766927067e-05,0.000270314726233339,0.017465958244172,0.000357888372541868,0.000973314878559291,0,0.0807800885031183,0.00394553507422004,0.000117615104951155,0.000202837967183818
